INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:100    -6.328869e+00    5.010523e-01    -5.827816e+00    5.222740e+03
INFO:root:200    -6.348908e+00    5.222101e-01    -5.826698e+00    5.222740e+03
INFO:root:300    -6.320563e+00    4.927299e-01    -5.827833e+00    5.222740e+03
INFO:root:400    -6.361902e+00    5.368305e-01    -5.825071e+00    5.222740e+03
INFO:root:500    -6.383146e+00    5.508301e-01    -5.832316e+00    5.222740e+03
INFO:root:600    -6.390166e+00    5.623491e-01    -5.827817e+00    5.222740e+03
INFO:root:700    -6.352583e+00    5.283119e-01    -5.824272e+00    5.222740e+03
INFO:root:800    -6.399548e+00    5.692674e-01    -5.830281e+00    5.222740e+03
INFO:root:900    -6.310434e+00    4.842114e-01    -5.826223e+00    5.222740e+03
INFO:root:1000    -6.380673e+00    5.503921e-01    -5.830281e+00    5.222740e+03
INFO:root:1100    -6.338724e+00    5.051674e-01    -5.833556e+00    5.222740e+03
INFO:root:1200    -6.382425e+00    5.568850e-01    -5.825540e+00    5.222740e+03
